whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X1222.mbinfo.	X1335.HPIDb.	IMEx	missing_protein_evidence	BioGRID_from_Mentha	Status	Length	Organism	Organism.ID	Mass	Cross.reference..dbSNP.	Alternative.products..isoforms.	Annotation	Protein.existence	Protein.names	whole_proteome_Uniprot_IMEx	two_hybrid	all_protein_complementation	AP_MS	two_hybrid_vs_AP_MS
A0A023PXI0	1	1	uniprotkb	559292	1	0	0	0	0	1	1	0	reviewed	129	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14327	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YMR306C-A	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
A0A023PXI4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11607	0		1 out of 5	Uncertain	Putative uncharacterized protein YDR203W	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXI5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	187	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	21368	0		1 out of 5	Uncertain	Putative uncharacterized protein YPR197C	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXI8	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12380	0		1 out of 5	Uncertain	Putative uncharacterized protein YER006C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXJ3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13260	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YER076W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXJ7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11675	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YER107W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXK2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	192	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	20823	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YER148W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXK7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	284	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	31820	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YFL021C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXL1	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	197	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	22435	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YHL019W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXL7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	144	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	16240	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YHR056W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXM2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	81	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	9265	0		1 out of 5	Uncertain	Putative uncharacterized protein YHR131W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXM7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	112	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14179	0		1 out of 5	Uncertain	Putative uncharacterized protein YIL020C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXN3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14499	0		1 out of 5	Uncertain	Putative uncharacterized protein YIL068W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXN9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	150	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	16970	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YIL171W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXP4	1	1	uniprotkb	559292	0	1	0	0	0	1	1	0	reviewed	132	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14669	0		1 out of 5	Uncertain	Putative uncharacterized protein YLR235C	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
A0A023PXP7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	132	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14545	0		1 out of 5	Uncertain	Putative uncharacterized protein YML034C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXQ4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	394	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	43890	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YMR173W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXQ9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	102	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11216	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YMR316C-B	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYC6	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	104	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11223	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YAL016C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYD0	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	140	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15823	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YAL059C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYD3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12867	0		1 out of 5	Uncertain	Putative uncharacterized protein YDR094W	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYD7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	172	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	18445	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YDR187C	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYD9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	177	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	19365	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YEL018C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYE4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	107	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12901	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YER067C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYE9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	183	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	20007	0		1 out of 5	Uncertain	Putative uncharacterized protein YER087C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYF4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	145	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	16018	0		1 out of 5	Uncertain	Putative uncharacterized protein YER145C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYF7	1	1	uniprotkb	559292	0	1	0	0	0	1	1	0	reviewed	126	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13972	0		1 out of 5	Uncertain	Putative uncharacterized protein YER172C-A	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
A0A023PYG1	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	162	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	17933	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YHL002C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYG5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	108	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12274	0		1 out of 5	Uncertain	Putative uncharacterized protein YHL046W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYH0	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	136	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15284	0		1 out of 5	Uncertain	Putative uncharacterized protein YHR070C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYH5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	124	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14085	0		1 out of 5	Uncertain	Putative uncharacterized protein YHR193C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYH8	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	122	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14124	0		1 out of 5	Uncertain	Putative uncharacterized protein YIL047C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYI2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	110	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11940	0		1 out of 5	Uncertain	Putative uncharacterized protein YIL142C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYI5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	133	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15235	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YIR036W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYJ0	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	108	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13446	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YML009C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYJ4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12887	0		1 out of 5	Uncertain	Putative uncharacterized protein YMR153C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYJ7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	116	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13469	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YMR304C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYK2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12959	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YPR170C	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZ94	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	102	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11414	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YAL031W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZ99	1	1	uniprotkb	559292	1	0	0	0	0	1	1	0	reviewed	116	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12837	0		1 out of 5	Uncertain	Putative uncharacterized protein YDR008C	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
A0A023PZA4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	116	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13179	0		1 out of 5	Uncertain	Putative uncharacterized protein YDR154C	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZA9	1	1	uniprotkb	559292	1	0	0	0	0	1	1	0	reviewed	115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12904	0		1 out of 5	Uncertain	Putative uncharacterized protein YDR230W	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
A0A023PZB3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	126	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14348	0		1 out of 5	Predicted	Protein FMP49, mitochondrial (Found in mitochondrial proteome protein 49)	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZB8	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	112	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12599	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YER079C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZC3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	113	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13357	0		1 out of 5	Uncertain	Putative uncharacterized protein YER133W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZC7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	188	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	21595	0		1 out of 5	Uncertain	Putative uncharacterized protein YER152W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZD0	1	1	uniprotkb	559292	0	1	0	0	0	1	1	0	reviewed	216	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	24214	0		1 out of 5	Uncertain	Putative uncharacterized protein YFR036W-A	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
A0A023PZD5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	153	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	17065	0		1 out of 5	Uncertain	Putative uncharacterized protein YHL030W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZE1	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12202	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YHR063W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZE2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	109	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12154	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YAL047W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZE4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	103	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	9601	0		1 out of 5	Uncertain	Putative uncharacterized protein YHR165W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZE6	1	1	uniprotkb	559292	1	0	0	0	0	1	1	0	reviewed	104	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12316	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YDR048C	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
A0A023PZE8	1	1	uniprotkb	559292	0	1	0	0	0	1	1	0	reviewed	133	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15507	0		1 out of 5	Uncertain	Putative uncharacterized protein YDR157W	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
A0A023PZE9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	123	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13443	0		1 out of 5	Uncertain	Putative uncharacterized protein YIL029W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZF2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	135	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15939	0		1 out of 5	Uncertain	Putative uncharacterized protein YEL009C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZF3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	158	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	17541	0		1 out of 5	Uncertain	Putative uncharacterized protein YIL071W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZF5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	109	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12723	0		1 out of 5	Uncertain	Putative uncharacterized protein YER046W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZF9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	107	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11613	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YIR023C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZG0	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	170	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	20288	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YER084W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZG4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	107	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11596	0		1 out of 5	Uncertain	Putative uncharacterized protein YLR236C	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZG5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	101	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11524	0		1 out of 5	Uncertain	Putative uncharacterized protein YER137W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZG9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	121	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14525	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YML047W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZH1	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	118	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13421	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YER165C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZH4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	101	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11822	0		1 out of 5	Uncertain	Putative uncharacterized protein YFR052C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZH5	1	1	uniprotkb	559292	1	1	0	0	0	1	1	0	reviewed	115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12852	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YMR290W-A	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
A0A023PZH9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	153	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	16290	0		1 out of 5	Uncertain	Putative uncharacterized protein YHL034W-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZI1	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	117	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12402	0		2 out of 5	Uncertain	Putative uncharacterized protein OPI11 (Overproducer of inositol protein 11)	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZI4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	120	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13252	0		1 out of 5	Uncertain	Putative uncharacterized membrane protein YHR069C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZI9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	157	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	18121	0		1 out of 5	Uncertain	Putative uncharacterized protein YHR182C-A	SwissProt_not_IMEX	0	0	0	not in IMEx
