whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X1222.mbinfo.	X1335.HPIDb.	IMEx	missing_protein_evidence	BioGRID_from_Mentha	Status	Length	Organism	Organism.ID	Mass	Cross.reference..dbSNP.	Alternative.products..isoforms.	Annotation	Protein.existence	whole_proteome_Uniprot_IMEx
A0A023PXE8	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11958	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXF2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12235	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXF5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11974	NA	NA	2 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXF8	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	147	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15856	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXG3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	133	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14768	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXG7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	101	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12051	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXH2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12510	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXH4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	145	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	17438	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXH5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	47	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	5170	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXH6	1	1	uniprotkb	559292	1	0	0	0	0	1	1	0	reviewed	127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14518	NA	NA	1 out of 5	Uncertain	SwissProt_and_IMEX
A0A023PXH9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	235	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	27059	NA	NA	2 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXI0	1	1	uniprotkb	559292	1	0	0	0	0	1	1	0	reviewed	129	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14327	NA	NA	1 out of 5	Uncertain	SwissProt_and_IMEX
A0A023PXI4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11607	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXI5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	187	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	21368	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXI8	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12380	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXJ3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13260	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXJ7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11675	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXK2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	192	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	20823	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXK7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	284	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	31820	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXL1	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	197	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	22435	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXL7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	144	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	16240	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXM2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	81	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	9265	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXM7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	112	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14179	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXN3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14499	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXN9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	150	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	16970	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXP4	1	1	uniprotkb	559292	0	1	0	0	0	1	1	0	reviewed	132	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14669	NA	NA	1 out of 5	Uncertain	SwissProt_and_IMEX
A0A023PXP7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	132	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14545	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXQ4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	394	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	43890	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXQ9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	102	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11216	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PYC6	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	104	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11223	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PYD0	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	140	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15823	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PYD3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12867	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PYD7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	172	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	18445	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PYD9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	177	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	19365	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PYE4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	107	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12901	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PYE9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	183	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	20007	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PYF4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	145	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	16018	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PYF7	1	1	uniprotkb	559292	0	1	0	0	0	1	1	0	reviewed	126	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13972	NA	NA	1 out of 5	Uncertain	SwissProt_and_IMEX
A0A023PYG1	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	162	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	17933	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PYG5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	108	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12274	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PYH0	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	136	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15284	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PYH5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	124	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14085	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PYH8	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	122	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14124	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PYI2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	110	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11940	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PYI5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	133	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15235	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PYJ0	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	108	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13446	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PYJ4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12887	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PYJ7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	116	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13469	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PYK2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12959	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZ94	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	102	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11414	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZ99	1	1	uniprotkb	559292	1	0	0	0	0	1	1	0	reviewed	116	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12837	NA	NA	1 out of 5	Uncertain	SwissProt_and_IMEX
A0A023PZA4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	116	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13179	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZA9	1	1	uniprotkb	559292	1	0	0	0	0	1	1	0	reviewed	115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12904	NA	NA	1 out of 5	Uncertain	SwissProt_and_IMEX
A0A023PZB3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	126	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14348	NA	NA	1 out of 5	Predicted	SwissProt_not_IMEX
A0A023PZB8	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	112	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12599	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZC3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	113	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13357	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZC7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	188	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	21595	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZD0	1	1	uniprotkb	559292	0	1	0	0	0	1	1	0	reviewed	216	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	24214	NA	NA	1 out of 5	Uncertain	SwissProt_and_IMEX
A0A023PZD5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	153	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	17065	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZE1	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12202	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZE2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	109	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12154	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZE4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	103	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	9601	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZE6	1	1	uniprotkb	559292	1	0	0	0	0	1	1	0	reviewed	104	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12316	NA	NA	1 out of 5	Uncertain	SwissProt_and_IMEX
A0A023PZE8	1	1	uniprotkb	559292	0	1	0	0	0	1	1	0	reviewed	133	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15507	NA	NA	1 out of 5	Uncertain	SwissProt_and_IMEX
A0A023PZE9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	123	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13443	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZF2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	135	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15939	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZF3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	158	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	17541	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZF5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	109	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12723	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZF9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	107	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11613	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZG0	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	170	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	20288	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZG4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	107	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11596	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZG5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	101	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11524	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZG9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	121	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14525	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZH1	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	118	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13421	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZH4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	101	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11822	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZH5	1	1	uniprotkb	559292	1	1	0	0	0	1	1	0	reviewed	115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12852	NA	NA	1 out of 5	Uncertain	SwissProt_and_IMEX
A0A023PZH9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	153	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	16290	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZI1	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	117	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12402	NA	NA	2 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZI4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	120	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13252	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZI9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	157	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	18121	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZJ3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	112	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13554	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZJ9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	123	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13917	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZK4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13675	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZK9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	126	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14447	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZL2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	124	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14510	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZL7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	119	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13839	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PZM3	1	1	uniprotkb	559292	1	0	0	0	0	1	1	0	reviewed	137	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15156	NA	NA	1 out of 5	Uncertain	SwissProt_and_IMEX
A0A0B7P221	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	28	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	3468	NA	NA	1 out of 5	Predicted	SwissProt_not_IMEX
A0A0B7P3V8	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	1104	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	127189	NA	NA	5 out of 5	Uncertain	SwissProt_not_IMEX
A2P2R3	1	1	0	0	0	0	0	0	0	0	1	1	reviewed	262	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	29272	NA	NA	2 out of 5	Inferred from homology	SwissProt_not_IMEX
A5Z2X5	1	1	uniprotkb	559292	0	1	0	0	0	1	1	1	reviewed	72	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	7902	NA	NA	1 out of 5	Inferred from homology	SwissProt_and_IMEX
D6VPM8	1	1	uniprotkb	559292	1	0	0	0	0	1	1	1	reviewed	179	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	20703	NA	NA	2 out of 5	Uncertain	SwissProt_and_IMEX
D6VTK4	1	1	uniprotkb	559292	0	1	0	0	0	1	0	1	reviewed	431	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	47849	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
D6W196	1	1	0	0	0	0	0	0	0	0	0	1	reviewed	494	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	55715	NA	NA	4 out of 5	Evidence at protein level	SwissProt_not_IMEX
I2HB52	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	66	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	7328	NA	NA	1 out of 5	Predicted	SwissProt_not_IMEX
I2HB70	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	103	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12411	NA	NA	1 out of 5	Inferred from homology	SwissProt_not_IMEX
O13297	1	1	uniprotkb	559292	1	1	0	0	0	1	0	1	reviewed	549	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	61850	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
O13329	1	1	uniprotkb	559292	1	1	1	0	0	1	0	1	reviewed	566	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	65318	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
O13511	1	1	0	0	0	0	0	0	0	0	1	1	reviewed	128	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12919	NA	NA	1 out of 5	Evidence at transcript level	SwissProt_not_IMEX
O13512	1	1	uniprotkb	559292	0	1	0	0	0	1	0	1	reviewed	126	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13273	NA	NA	1 out of 5	Evidence at protein level	SwissProt_and_IMEX
O13513	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	116	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12969	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
O13514	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	125	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13704	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
O13515	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	117	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13264	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
O13516	1	1	uniprotkb	559292	1	1	0	0	0	1	0	1	reviewed	197	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	22443	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
O13517	1	1	uniprotkb	559292	0	1	0	0	0	1	1	0	reviewed	100	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11657	NA	NA	1 out of 5	Uncertain	SwissProt_and_IMEX
