whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X1222.mbinfo.	X1335.HPIDb.	IMEx	missing_protein_evidence	BioGRID_from_Mentha	Status	Length	Organism	Organism.ID	Mass	Cross.reference..dbSNP.	Alternative.products..isoforms.	Annotation	Protein.existence	whole_proteome_Uniprot_IMEx	two_hybrid	all_protein_complementation	AP_MS	two_hybrid_vs_AP_MS
A0A023PXF8	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	147	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15856	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXG3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	133	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14768	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXG7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	101	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12051	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXH2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12510	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXH4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	145	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	17438	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXH5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	47	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	5170	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXH6	1	1	uniprotkb	559292	1	0	0	0	0	1	1	0	reviewed	127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14518	0	0	1 out of 5	Uncertain	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
A0A023PXH9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	235	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	27059	0	0	2 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXI0	1	1	uniprotkb	559292	1	0	0	0	0	1	1	0	reviewed	129	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14327	0	0	1 out of 5	Uncertain	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
A0A023PXI4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11607	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXI5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	187	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	21368	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXI8	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12380	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXJ3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13260	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXJ7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11675	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXK2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	192	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	20823	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXK7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	284	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	31820	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXL1	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	197	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	22435	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXL7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	144	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	16240	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXM2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	81	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	9265	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXM7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	112	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14179	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXN3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14499	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXN9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	150	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	16970	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXP4	1	1	uniprotkb	559292	0	1	0	0	0	1	1	0	reviewed	132	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14669	0	0	1 out of 5	Uncertain	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
A0A023PXP7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	132	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14545	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXQ4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	394	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	43890	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PXQ9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	102	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11216	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYC6	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	104	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11223	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYD0	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	140	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15823	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYD3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12867	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYD7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	172	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	18445	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYD9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	177	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	19365	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYE4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	107	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12901	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYE9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	183	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	20007	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYF4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	145	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	16018	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYF7	1	1	uniprotkb	559292	0	1	0	0	0	1	1	0	reviewed	126	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13972	0	0	1 out of 5	Uncertain	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
A0A023PYG1	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	162	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	17933	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYG5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	108	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12274	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYH0	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	136	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15284	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYH5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	124	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14085	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYH8	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	122	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14124	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYI2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	110	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11940	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYI5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	133	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15235	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYJ0	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	108	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13446	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYJ4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12887	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYJ7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	116	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13469	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PYK2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12959	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZ94	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	102	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11414	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZ99	1	1	uniprotkb	559292	1	0	0	0	0	1	1	0	reviewed	116	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12837	0	0	1 out of 5	Uncertain	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
A0A023PZA4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	116	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13179	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZA9	1	1	uniprotkb	559292	1	0	0	0	0	1	1	0	reviewed	115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12904	0	0	1 out of 5	Uncertain	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
A0A023PZB3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	126	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14348	0	0	1 out of 5	Predicted	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZB8	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	112	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12599	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZC3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	113	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13357	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZC7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	188	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	21595	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZD0	1	1	uniprotkb	559292	0	1	0	0	0	1	1	0	reviewed	216	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	24214	0	0	1 out of 5	Uncertain	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
A0A023PZD5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	153	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	17065	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZE1	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12202	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZE2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	109	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12154	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZE4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	103	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	9601	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZE6	1	1	uniprotkb	559292	1	0	0	0	0	1	1	0	reviewed	104	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12316	0	0	1 out of 5	Uncertain	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
A0A023PZE8	1	1	uniprotkb	559292	0	1	0	0	0	1	1	0	reviewed	133	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15507	0	0	1 out of 5	Uncertain	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
A0A023PZE9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	123	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13443	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZF2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	135	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15939	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZF3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	158	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	17541	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZF5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	109	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12723	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZF9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	107	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11613	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZG0	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	170	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	20288	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZG4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	107	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11596	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZG5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	101	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11524	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZG9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	121	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14525	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZH1	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	118	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13421	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZH4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	101	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11822	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZH5	1	1	uniprotkb	559292	1	1	0	0	0	1	1	0	reviewed	115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12852	0	0	1 out of 5	Uncertain	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
A0A023PZH9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	153	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	16290	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZI1	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	117	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12402	0	0	2 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZI4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	120	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13252	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZI9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	157	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	18121	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZJ3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	112	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13554	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZJ9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	123	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13917	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZK4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13675	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZK9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	126	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14447	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZL2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	124	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14510	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZL7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	119	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13839	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A023PZM3	1	1	uniprotkb	559292	1	0	0	0	0	1	1	0	reviewed	137	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15156	0	0	1 out of 5	Uncertain	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
A0A0B7P221	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	28	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	3468	0	0	1 out of 5	Predicted	SwissProt_not_IMEX	0	0	0	not in IMEx
A0A0B7P3V8	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	1104	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	127189	0	0	5 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not in IMEx
A2P2R3	1	1	0	0	0	0	0	0	0	0	1	1	reviewed	262	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	29272	0	0	2 out of 5	Inferred from homology	SwissProt_not_IMEX	0	0	0	not in IMEx
A5Z2X5	1	1	uniprotkb	559292	0	1	0	0	0	1	1	1	reviewed	72	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	7902	0	0	1 out of 5	Inferred from homology	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
D6VPM8	1	1	uniprotkb	559292	1	0	0	0	0	1	1	1	reviewed	179	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	20703	0	0	2 out of 5	Uncertain	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
D6VTK4	1	1	uniprotkb	559292	0	1	0	0	0	1	0	1	reviewed	431	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	47849	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	1	0	not two-hybrid, and not AP-MS
