whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X0903.mpidb.	IMEx	missing_protein_evidence	Status	Length	Organism	Organism.ID	Mass	Cross.reference..dbSNP.	Alternative.products..isoforms.	Annotation	Protein.existence	whole_proteome_Uniprot_IMEx	two_hybrid	all_protein_complementation	AP_MS	two_hybrid_vs_AP_MS
C1P605	1	1	0	0	0	0	0	0	0	0	reviewed	28	Escherichia coli (strain K12)	83333	3408	0	0	1 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
C1P606	1	1	0	0	0	0	0	0	0	0	reviewed	20	Escherichia coli (strain K12)	83333	2242	0	0	1 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
C1P607	1	1	0	0	0	0	0	0	0	1	reviewed	19	Escherichia coli (strain K12)	83333	2232	0	0	3 out of 5	Evidence at transcript level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
C1P608	1	1	0	0	0	0	0	0	0	1	reviewed	18	Escherichia coli (strain K12)	83333	2064	0	0	2 out of 5	Inferred from homology	SwissProt_not_IMEX	0	0	0	not_in_IMEx
C1P609	1	1	0	0	0	0	0	0	0	0	reviewed	27	Escherichia coli (strain K12)	83333	3092	0	0	2 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
C1P610	1	1	0	0	0	0	0	0	0	0	reviewed	23	Escherichia coli (strain K12)	83333	2704	0	0	2 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
C1P611	1	1	0	0	0	0	0	0	0	1	reviewed	26	Escherichia coli (strain K12)	83333	3103	0	0	2 out of 5	Evidence at transcript level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
C1P612	1	1	0	0	0	0	0	0	0	0	reviewed	46	Escherichia coli (strain K12)	83333	5383	0	0	1 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
C1P613	1	1	0	0	0	0	0	0	0	0	reviewed	26	Escherichia coli (strain K12)	83333	3203	0	0	1 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
C1P614	1	1	0	0	0	0	0	0	0	0	reviewed	41	Escherichia coli (strain K12)	83333	4791	0	0	1 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
C1P615	1	1	0	0	0	0	0	0	0	1	reviewed	19	Escherichia coli (strain K12)	83333	2209	0	0	3 out of 5	Evidence at transcript level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
C1P616	1	1	0	0	0	0	0	0	0	1	reviewed	19	Escherichia coli (strain K12)	83333	2151	0	0	3 out of 5	Inferred from homology	SwissProt_not_IMEX	0	0	0	not_in_IMEx
C1P617	1	1	0	0	0	0	0	0	0	1	reviewed	19	Escherichia coli (strain K12)	83333	2207	0	0	3 out of 5	Evidence at transcript level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
C1P618	1	1	0	0	0	0	0	0	0	0	reviewed	26	Escherichia coli (strain K12)	83333	2979	0	0	1 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
C1P619	1	1	0	0	0	0	0	0	0	0	reviewed	16	Escherichia coli (strain K12)	83333	1910	0	0	1 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
C1P620	1	1	0	0	0	0	0	0	0	0	reviewed	36	Escherichia coli (strain K12)	83333	3618	0	0	1 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
C1P621	1	1	0	0	0	0	0	0	0	0	reviewed	17	Escherichia coli (strain K12)	83333	2056	0	0	1 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
E2JKY7	1	1	0	0	0	0	0	0	0	1	reviewed	17	Escherichia coli (strain K12)	83333	2123	0	0	1 out of 5	Inferred from homology	SwissProt_not_IMEX	0	0	0	not_in_IMEx
G3MTW7	1	1	0	0	0	0	0	0	0	1	reviewed	29	Escherichia coli (strain K12)	83333	3465	0	0	2 out of 5	Predicted	SwissProt_not_IMEX	0	0	0	not_in_IMEx
O32528	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	91	Escherichia coli (strain K12)	83333	10162	0	0	2 out of 5	Inferred from homology	SwissProt_and_IMEX	0	0	0	not_two_hybrid_not_AP_MS
O32583	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	66	Escherichia coli (strain K12)	83333	7311	0	0	4 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	0	not_two_hybrid_not_AP_MS
O52982	1	1	0	0	0	0	0	0	0	0	reviewed	147	Escherichia coli (strain K12)	83333	16735	0	0	3 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
P00350	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	468	Escherichia coli (strain K12)	83333	51481	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P00363	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	602	Escherichia coli (strain K12)	83333	65972	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	1	not_two_hybrid_but_AP_MS
P00370	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	447	Escherichia coli (strain K12)	83333	48581	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	0	not_two_hybrid_not_AP_MS
P00393	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	434	Escherichia coli (strain K12)	83333	47359	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	1	not_two_hybrid_but_AP_MS
P00448	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	206	Escherichia coli (strain K12)	83333	23097	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	1	not_two_hybrid_but_AP_MS
P00452	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	761	Escherichia coli (strain K12)	83333	85775	0	ALTERNATIVE PRODUCTS:  Event=Alternative initiation; Named isoforms=2;  Name=Alpha; IsoId=P00452-1; Sequence=Displayed; Name=Alpha'; IsoId=P00452-2; Sequence=VSP_018871, VSP_018872; 	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	1	not_two_hybrid_but_AP_MS
P00490	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	797	Escherichia coli (strain K12)	83333	90522	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	1	not_two_hybrid_but_AP_MS
P00509	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	396	Escherichia coli (strain K12)	83333	43573	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P00547	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	310	Escherichia coli (strain K12)	83333	33624	0	0	4 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	0	not_two_hybrid_not_AP_MS
P00550	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	637	Escherichia coli (strain K12)	83333	67972	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	0	not_two_hybrid_not_AP_MS
P00561	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	820	Escherichia coli (strain K12)	83333	89120	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	0	not_two_hybrid_not_AP_MS
P00562	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	810	Escherichia coli (strain K12)	83333	88888	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	0	not_two_hybrid_not_AP_MS
P00579	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	613	Escherichia coli (strain K12)	83333	70263	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	1	two_hybrid_and_AP_MS
P00582	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	928	Escherichia coli (strain K12)	83333	103118	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	1	not_two_hybrid_but_AP_MS
P00634	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	471	Escherichia coli (strain K12)	83333	49439	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	1	0	not_two_hybrid_not_AP_MS
P00722	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	1024	Escherichia coli (strain K12)	83333	116483	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	1	not_two_hybrid_but_AP_MS
P00803	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	324	Escherichia coli (strain K12)	83333	35960	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	0	not_two_hybrid_not_AP_MS
P00804	1	1	0	0	0	0	0	0	0	0	reviewed	164	Escherichia coli (strain K12)	83333	18156	0	0	4 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
P00805	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	348	Escherichia coli (strain K12)	83333	36851	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P00811	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	377	Escherichia coli (strain K12)	83333	41556	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	0	not_two_hybrid_not_AP_MS
P00816	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	156	Escherichia coli (strain K12)	83333	17049	0	0	4 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	0	not_two_hybrid_not_AP_MS
P00861	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	420	Escherichia coli (strain K12)	83333	46177	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	1	two_hybrid_and_AP_MS
P00864	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	883	Escherichia coli (strain K12)	83333	99063	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	0	not_two_hybrid_not_AP_MS
P00887	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	348	Escherichia coli (strain K12)	83333	38735	0	0	4 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P00888	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	356	Escherichia coli (strain K12)	83333	38804	0	0	4 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P00892	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	548	Escherichia coli (strain K12)	83333	59285	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P00893	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	574	Escherichia coli (strain K12)	83333	62984	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P00894	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	163	Escherichia coli (strain K12)	83333	17977	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P00895	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	520	Escherichia coli (strain K12)	83333	57494	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P00903	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	187	Escherichia coli (strain K12)	83333	20772	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P00904	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	531	Escherichia coli (strain K12)	83333	56870	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P00909	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	453	Escherichia coli (strain K12)	83333	49492	0	0	4 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P00914	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	472	Escherichia coli (strain K12)	83333	53667	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P00926	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	442	Escherichia coli (strain K12)	83333	47901	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P00934	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	428	Escherichia coli (strain K12)	83333	47114	0	0	4 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P00935	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	386	Escherichia coli (strain K12)	83333	41550	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	0	not_two_hybrid_not_AP_MS
P00936	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	848	Escherichia coli (strain K12)	83333	97586	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P00944	1	1	uniprotkb	83333	1	1	0	0	1	1	reviewed	440	Escherichia coli (strain K12)	83333	49742	0	0	4 out of 5	Inferred from homology	SwissProt_and_IMEX	0	0	0	not_two_hybrid_not_AP_MS
P00946	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	391	Escherichia coli (strain K12)	83333	42850	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P00954	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	334	Escherichia coli (strain K12)	83333	37438	0	0	4 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	0	not_two_hybrid_not_AP_MS
P00956	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	938	Escherichia coli (strain K12)	83333	104297	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	1	two_hybrid_and_AP_MS
P00957	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	876	Escherichia coli (strain K12)	83333	96032	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	1	not_two_hybrid_but_AP_MS
P00959	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	677	Escherichia coli (strain K12)	83333	76255	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P00960	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	303	Escherichia coli (strain K12)	83333	34774	0	0	3 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	1	two_hybrid_and_AP_MS
P00961	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	689	Escherichia coli (strain K12)	83333	76813	0	0	4 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	1	two_hybrid_and_AP_MS
P00962	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	554	Escherichia coli (strain K12)	83333	63478	0	0	4 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	1	not_two_hybrid_but_AP_MS
P00963	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	330	Escherichia coli (strain K12)	83333	36651	0	0	4 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P00968	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	1073	Escherichia coli (strain K12)	83333	117842	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	1	two_hybrid_and_AP_MS
P02338	1	1	0	0	0	0	0	0	0	1	reviewed	29	Escherichia coli (strain K12)	83333	3447	0	0	1 out of 5	Predicted	SwissProt_not_IMEX	0	0	0	not_in_IMEx
P02358	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	135	Escherichia coli (strain K12)	83333	15703	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	1	two_hybrid_and_AP_MS
P02359	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	179	Escherichia coli (strain K12)	83333	20019	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	1	two_hybrid_and_AP_MS
P02413	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	144	Escherichia coli (strain K12)	83333	14980	0	0	3 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	1	two_hybrid_and_AP_MS
P02916	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	514	Escherichia coli (strain K12)	83333	57013	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	0	not_two_hybrid_not_AP_MS
P02918	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	850	Escherichia coli (strain K12)	83333	93636	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	0	not_two_hybrid_not_AP_MS
P02919	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	844	Escherichia coli (strain K12)	83333	94293	0	ALTERNATIVE PRODUCTS:  Event=Alternative initiation; Named isoforms=2;  Name=Alpha; Synonyms=Long; IsoId=P02919-1; Sequence=Displayed; Name=Gamma; Synonyms=Short; IsoId=P02919-2; Sequence=VSP_018737; 	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	1	0	not_two_hybrid_not_AP_MS
P02920	1	1	0	0	0	0	0	0	0	0	reviewed	417	Escherichia coli (strain K12)	83333	46503	0	0	5 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
P02921	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	473	Escherichia coli (strain K12)	83333	52636	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	0	not_two_hybrid_not_AP_MS
P02924	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	329	Escherichia coli (strain K12)	83333	35541	0	0	4 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	0	not_two_hybrid_not_AP_MS
P02925	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	296	Escherichia coli (strain K12)	83333	30950	0	0	4 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	1	two_hybrid_and_AP_MS
P02929	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	239	Escherichia coli (strain K12)	83333	26094	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P02930	1	1	uniprotkb	83333	1	1	0	1	1	0	reviewed	493	Escherichia coli (strain K12)	83333	53741	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P02931	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	362	Escherichia coli (strain K12)	83333	39333	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P02932	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	351	Escherichia coli (strain K12)	83333	38922	0	0	3 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	1	not_two_hybrid_but_AP_MS
P02942	1	1	uniprotkb	83333	1	1	0	1	1	0	reviewed	551	Escherichia coli (strain K12)	83333	59443	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P02943	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	446	Escherichia coli (strain K12)	83333	49912	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	0	not_two_hybrid_not_AP_MS
P03004	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	467	Escherichia coli (strain K12)	83333	52551	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	1	two_hybrid_and_AP_MS
P03007	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	243	Escherichia coli (strain K12)	83333	27099	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	1	two_hybrid_and_AP_MS
P03012	1	0	0	0	0	0	0	0	0	0	reviewed	183	Escherichia coli (strain K12)	83333	20362	0	0	3 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
P03014	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	184	Escherichia coli (strain K12)	83333	20573	0	0	4 out of 5	Inferred from homology	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P03018	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	720	Escherichia coli (strain K12)	83333	81990	0	0	5 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	1	two_hybrid_and_AP_MS
P03023	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	360	Escherichia coli (strain K12)	83333	38590	0	0	4 out of 5	Evidence at protein level	SwissProt_and_IMEX	0	0	0	not_two_hybrid_not_AP_MS
P03024	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	343	Escherichia coli (strain K12)	83333	37094	0	0	4 out of 5	Evidence at protein level	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P03030	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	311	Escherichia coli (strain K12)	83333	34365	0	0	3 out of 5	Inferred from homology	SwissProt_and_IMEX	1	1	0	two_hybrid_not_AP_MS
P03061	1	1	0	0	0	0	0	0	0	1	reviewed	32	Escherichia coli (strain K12)	83333	3206	0	0	2 out of 5	Predicted	SwissProt_not_IMEX	0	0	0	not_in_IMEx
P03813	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	230	Escherichia coli (strain K12)	83333	25248	0	0	2 out of 5	Inferred from homology	SwissProt_and_IMEX	0	0	1	not_two_hybrid_but_AP_MS
