whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X0903.mpidb.	IMEx	missing_protein_evidence	Status	Length	Organism	Organism.ID	Mass	Cross.reference..dbSNP.	Alternative.products..isoforms.	Annotation	Protein.existence	Protein.names	whole_proteome_Uniprot_IMEx	two_hybrid	all_protein_complementation	AP_MS	two_hybrid_vs_AP_MS
A5A619	1	1	0	0	0	0	0	0	0	1	reviewed	54	Escherichia coli (strain K12)	83333	6218	0		1 out of 5	Inferred from homology	Uncharacterized protein YojO	SwissProt_not_IMEX	0	0	0	not in IMEx
A5A621	1	1	0	0	0	0	0	0	0	0	reviewed	19	Escherichia coli (strain K12)	83333	2408	0		1 out of 5	Evidence at protein level	Uncharacterized protein YpfM	SwissProt_not_IMEX	0	0	0	not in IMEx
A5A624	1	1	0	0	0	0	0	0	0	1	reviewed	27	Escherichia coli (strain K12)	83333	3021	0		2 out of 5	Evidence at transcript level	Uncharacterized protein DinQ	SwissProt_not_IMEX	0	0	0	not in IMEx
A5A625	1	1	0	0	0	0	0	0	0	1	reviewed	111	Escherichia coli (strain K12)	83333	12340	0		1 out of 5	Uncertain	Putative uncharacterized protein YibV	SwissProt_not_IMEX	0	0	0	not in IMEx
A5A627	1	1	0	0	0	0	0	0	0	1	reviewed	29	Escherichia coli (strain K12)	83333	3222	0		4 out of 5	Evidence at transcript level	Small toxic protein TisB (LexA-regulated protein TisB)	SwissProt_not_IMEX	0	0	0	not in IMEx
A5A628	1	1	0	0	0	0	0	0	0	1	reviewed	92	Escherichia coli (strain K12)	83333	10049	0		1 out of 5	Inferred from homology	Uncharacterized protein YjbT	SwissProt_not_IMEX	0	0	0	not in IMEx
A5A630	1	1	0	0	0	0	0	0	0	1	reviewed	91	Escherichia coli (strain K12)	83333	10257	0		2 out of 5	Inferred from homology	Uncharacterized protein YtcA	SwissProt_not_IMEX	0	0	0	not in IMEx
A8DYP9	1	1	0	0	0	0	0	0	0	0	reviewed	28	Escherichia coli (strain K12)	83333	3109	0		2 out of 5	Evidence at protein level	Fur leader peptide	SwissProt_not_IMEX	0	0	0	not in IMEx
A8DYQ1	1	1	0	0	0	0	0	0	0	0	reviewed	41	Escherichia coli (strain K12)	83333	4779	0		2 out of 5	Evidence at protein level	Uncharacterized protein YthA	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P5Z7	1	1	0	0	0	0	0	0	0	0	reviewed	43	Escherichia coli (strain K12)	83333	5338	0		2 out of 5	Evidence at protein level	Putative inhibitor of glucose uptake transporter SgrT	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P5Z8	1	1	0	0	0	0	0	0	0	0	reviewed	33	Escherichia coli (strain K12)	83333	3999	0		2 out of 5	Evidence at protein level	Uncharacterized membrane protein YkgR	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P5Z9	1	1	0	0	0	0	0	0	0	1	reviewed	34	Escherichia coli (strain K12)	83333	4122	0		1 out of 5	Predicted	Putative protein YmiB	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P600	1	1	0	0	0	0	0	0	0	0	reviewed	21	Escherichia coli (strain K12)	83333	2657	0		1 out of 5	Evidence at protein level	Uncharacterized protein YnbG	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P601	1	1	0	0	0	0	0	0	0	1	reviewed	84	Escherichia coli (strain K12)	83333	9463	0		2 out of 5	Inferred from homology	Putative lipoprotein RzoQ	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P602	1	1	0	0	0	0	0	0	0	0	reviewed	32	Escherichia coli (strain K12)	83333	3458	0		2 out of 5	Evidence at protein level	Uncharacterized membrane protein YoaK	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P603	1	1	0	0	0	0	0	0	0	0	reviewed	24	Escherichia coli (strain K12)	83333	2691	0		2 out of 5	Evidence at protein level	Uncharacterized protein YoaJ	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P604	1	1	0	0	0	0	0	0	0	0	reviewed	21	Escherichia coli (strain K12)	83333	2665	0		1 out of 5	Evidence at protein level	Uncharacterized protein YobI	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P605	1	1	0	0	0	0	0	0	0	0	reviewed	28	Escherichia coli (strain K12)	83333	3408	0		1 out of 5	Evidence at protein level	Uncharacterized protein AzuC	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P606	1	1	0	0	0	0	0	0	0	0	reviewed	20	Escherichia coli (strain K12)	83333	2242	0		1 out of 5	Evidence at protein level	Uncharacterized protein YoeI	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P607	1	1	0	0	0	0	0	0	0	1	reviewed	19	Escherichia coli (strain K12)	83333	2232	0		3 out of 5	Evidence at transcript level	Small toxic protein IbsA	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P608	1	1	0	0	0	0	0	0	0	1	reviewed	18	Escherichia coli (strain K12)	83333	2064	0		2 out of 5	Inferred from homology	Small toxic protein IbsB	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P609	1	1	0	0	0	0	0	0	0	0	reviewed	27	Escherichia coli (strain K12)	83333	3092	0		2 out of 5	Evidence at protein level	Uncharacterized membrane protein YohP	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P610	1	1	0	0	0	0	0	0	0	0	reviewed	23	Escherichia coli (strain K12)	83333	2704	0		2 out of 5	Evidence at protein level	Uncharacterized membrane protein YpdK	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P611	1	1	0	0	0	0	0	0	0	1	reviewed	26	Escherichia coli (strain K12)	83333	3103	0		2 out of 5	Evidence at transcript level	Small toxic protein ShoB	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P612	1	1	0	0	0	0	0	0	0	0	reviewed	46	Escherichia coli (strain K12)	83333	5383	0		1 out of 5	Evidence at protein level	Uncharacterized protein YqcG	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P613	1	1	0	0	0	0	0	0	0	0	reviewed	26	Escherichia coli (strain K12)	83333	3203	0		1 out of 5	Evidence at protein level	Uncharacterized protein YqeL	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P614	1	1	0	0	0	0	0	0	0	0	reviewed	41	Escherichia coli (strain K12)	83333	4791	0		1 out of 5	Evidence at protein level	Uncharacterized protein YqfG	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P615	1	1	0	0	0	0	0	0	0	1	reviewed	19	Escherichia coli (strain K12)	83333	2209	0		3 out of 5	Evidence at transcript level	Small toxic protein IbsC	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P616	1	1	0	0	0	0	0	0	0	1	reviewed	19	Escherichia coli (strain K12)	83333	2151	0		3 out of 5	Inferred from homology	Small toxic protein IbsD	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P617	1	1	0	0	0	0	0	0	0	1	reviewed	19	Escherichia coli (strain K12)	83333	2207	0		3 out of 5	Evidence at transcript level	Small toxic protein IbsE	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P618	1	1	0	0	0	0	0	0	0	0	reviewed	26	Escherichia coli (strain K12)	83333	2979	0		1 out of 5	Evidence at protein level	Uncharacterized protein YrbN	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P619	1	1	0	0	0	0	0	0	0	0	reviewed	16	Escherichia coli (strain K12)	83333	1910	0		1 out of 5	Evidence at protein level	Uncharacterized protein IlvX	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P620	1	1	0	0	0	0	0	0	0	0	reviewed	36	Escherichia coli (strain K12)	83333	3618	0		1 out of 5	Evidence at protein level	Uncharacterized protein YshB	SwissProt_not_IMEX	0	0	0	not in IMEx
C1P621	1	1	0	0	0	0	0	0	0	0	reviewed	17	Escherichia coli (strain K12)	83333	2056	0		1 out of 5	Evidence at protein level	Uncharacterized protein YjeV	SwissProt_not_IMEX	0	0	0	not in IMEx
E2JKY7	1	1	0	0	0	0	0	0	0	1	reviewed	17	Escherichia coli (strain K12)	83333	2123	0		1 out of 5	Inferred from homology	MgtA leader peptide (Regulatory leader peptide for mgtA)	SwissProt_not_IMEX	0	0	0	not in IMEx
G3MTW7	1	1	0	0	0	0	0	0	0	1	reviewed	29	Escherichia coli (strain K12)	83333	3465	0		2 out of 5	Predicted	Putative membrane protein PmrR	SwissProt_not_IMEX	0	0	0	not in IMEx
O32528	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	91	Escherichia coli (strain K12)	83333	10162	0		2 out of 5	Inferred from homology	Uncharacterized lipoprotein YpdI	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
O32583	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	66	Escherichia coli (strain K12)	83333	7311	0		4 out of 5	Evidence at protein level	Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS)	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
O52982	1	1	0	0	0	0	0	0	0	0	reviewed	147	Escherichia coli (strain K12)	83333	16735	0		3 out of 5	Evidence at protein level	Lipoprotein YfjS	SwissProt_not_IMEX	0	0	0	not in IMEx
P00350	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	468	Escherichia coli (strain K12)	83333	51481	0		5 out of 5	Evidence at protein level	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P00363	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	602	Escherichia coli (strain K12)	83333	65972	0		5 out of 5	Evidence at protein level	Fumarate reductase flavoprotein subunit (EC 1.3.5.4)	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P00370	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	447	Escherichia coli (strain K12)	83333	48581	0		5 out of 5	Evidence at protein level	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P00393	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	434	Escherichia coli (strain K12)	83333	47359	0		5 out of 5	Evidence at protein level	NADH dehydrogenase (EC 1.6.99.3)	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P00448	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	206	Escherichia coli (strain K12)	83333	23097	0		5 out of 5	Evidence at protein level	Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P00452	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	761	Escherichia coli (strain K12)	83333	85775	0	ALTERNATIVE PRODUCTS:  Event=Alternative initiation; Named isoforms=2;  Name=Alpha; IsoId=P00452-1; Sequence=Displayed; Name=Alpha'; IsoId=P00452-2; Sequence=VSP_018871, VSP_018872; 	5 out of 5	Evidence at protein level	Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P00490	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	797	Escherichia coli (strain K12)	83333	90522	0		5 out of 5	Evidence at protein level	Maltodextrin phosphorylase (EC 2.4.1.1)	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P00509	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	396	Escherichia coli (strain K12)	83333	43573	0		5 out of 5	Evidence at protein level	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P00547	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	310	Escherichia coli (strain K12)	83333	33624	0		4 out of 5	Evidence at protein level	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P00550	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	637	Escherichia coli (strain K12)	83333	67972	0		5 out of 5	Evidence at protein level	PTS system mannitol-specific EIICBA component (EIICBA-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.197) (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (EC 2.7.1.197) (PTS system mannitol-specific EIIA component)]	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P00561	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	820	Escherichia coli (strain K12)	83333	89120	0		5 out of 5	Evidence at protein level	Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P00562	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	810	Escherichia coli (strain K12)	83333	88888	0		5 out of 5	Evidence at protein level	Bifunctional aspartokinase/homoserine dehydrogenase 2 (Aspartokinase II/homoserine dehydrogenase II) (AKII-HDII) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P00579	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	613	Escherichia coli (strain K12)	83333	70263	0		5 out of 5	Evidence at protein level	RNA polymerase sigma factor RpoD (Sigma-70)	SwissProt_and_IMEX	1	1	1	two-hybrid and AP-MS
P00582	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	928	Escherichia coli (strain K12)	83333	103118	0		5 out of 5	Evidence at protein level	DNA polymerase I (POL I) (EC 2.7.7.7)	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P00634	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	471	Escherichia coli (strain K12)	83333	49439	0		5 out of 5	Evidence at protein level	Alkaline phosphatase (APase) (EC 3.1.3.1)	SwissProt_and_IMEX	0	1	0	not two-hybrid, and not AP-MS
P00722	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	1024	Escherichia coli (strain K12)	83333	116483	0		5 out of 5	Evidence at protein level	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P00803	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	324	Escherichia coli (strain K12)	83333	35960	0		5 out of 5	Evidence at protein level	Signal peptidase I (SPase I) (EC 3.4.21.89) (Leader peptidase I)	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P00804	1	1	0	0	0	0	0	0	0	0	reviewed	164	Escherichia coli (strain K12)	83333	18156	0		4 out of 5	Evidence at protein level	Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)	SwissProt_not_IMEX	0	0	0	not in IMEx
P00805	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	348	Escherichia coli (strain K12)	83333	36851	0		5 out of 5	Evidence at protein level	L-asparaginase 2 (EC 3.5.1.1) (L-asparaginase II) (L-ASNase II) (L-asparagine amidohydrolase II) (Colaspase)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P00811	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	377	Escherichia coli (strain K12)	83333	41556	0		5 out of 5	Evidence at protein level	Beta-lactamase (EC 3.5.2.6) (Cephalosporinase)	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P00816	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	156	Escherichia coli (strain K12)	83333	17049	0		4 out of 5	Evidence at protein level	Cyanate hydratase (Cyanase) (EC 4.2.1.104) (Cyanate hydrolase) (Cyanate lyase)	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P00861	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	420	Escherichia coli (strain K12)	83333	46177	0		5 out of 5	Evidence at protein level	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)	SwissProt_and_IMEX	1	1	1	two-hybrid and AP-MS
P00864	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	883	Escherichia coli (strain K12)	83333	99063	0		5 out of 5	Evidence at protein level	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P00887	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	348	Escherichia coli (strain K12)	83333	38735	0		4 out of 5	Evidence at protein level	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P00888	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	356	Escherichia coli (strain K12)	83333	38804	0		4 out of 5	Evidence at protein level	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P00892	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	548	Escherichia coli (strain K12)	83333	59285	0		5 out of 5	Evidence at protein level	Acetolactate synthase isozyme 2 large subunit (AHAS-II) (EC 2.2.1.6) (ALS-II) (Acetohydroxy-acid synthase II large subunit)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P00893	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	574	Escherichia coli (strain K12)	83333	62984	0		5 out of 5	Evidence at protein level	Acetolactate synthase isozyme 3 large subunit (EC 2.2.1.6) (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P00894	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	163	Escherichia coli (strain K12)	83333	17977	0		5 out of 5	Evidence at protein level	Acetolactate synthase isozyme 3 small subunit (EC 2.2.1.6) (ALS-III) (Acetohydroxy-acid synthase III small subunit) (AHAS-III)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P00895	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	520	Escherichia coli (strain K12)	83333	57494	0		5 out of 5	Evidence at protein level	Anthranilate synthase component 1 (AS) (ASI) (EC 4.1.3.27)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P00903	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	187	Escherichia coli (strain K12)	83333	20772	0		5 out of 5	Evidence at protein level	Aminodeoxychorismate synthase component 2 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 2) (Aminodeoxychorismate synthase, glutamine amidotransferase component)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P00904	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	531	Escherichia coli (strain K12)	83333	56870	0		5 out of 5	Evidence at protein level	Bifunctional protein TrpGD [Includes: Anthranilate synthase component 2 (AS) (ASII) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Anthranilate phosphoribosyltransferase (EC 2.4.2.18)]	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P00909	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	453	Escherichia coli (strain K12)	83333	49492	0		4 out of 5	Evidence at protein level	Tryptophan biosynthesis protein TrpCF [Includes: Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48); N-(5'-phospho-ribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24)]	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P00914	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	472	Escherichia coli (strain K12)	83333	53667	0		5 out of 5	Evidence at protein level	Deoxyribodipyrimidine photo-lyase (EC 4.1.99.3) (DNA photolyase) (Photoreactivating enzyme)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P00926	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	442	Escherichia coli (strain K12)	83333	47901	0		5 out of 5	Evidence at protein level	D-serine dehydratase (EC 4.3.1.18) (D-serine deaminase) (DSD)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P00934	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	428	Escherichia coli (strain K12)	83333	47114	0		4 out of 5	Evidence at protein level	Threonine synthase (TS) (EC 4.2.3.1)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P00935	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	386	Escherichia coli (strain K12)	83333	41550	0		5 out of 5	Evidence at protein level	Cystathionine gamma-synthase (CGS) (EC 2.5.1.48) (O-succinylhomoserine (thiol)-lyase)	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P00936	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	848	Escherichia coli (strain K12)	83333	97586	0		5 out of 5	Evidence at protein level	Adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P00944	1	1	uniprotkb	83333	1	1	0	0	1	1	reviewed	440	Escherichia coli (strain K12)	83333	49742	0		4 out of 5	Inferred from homology	Xylose isomerase (EC 5.3.1.5) (D-xylulose keto-isomerase)	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P00946	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	391	Escherichia coli (strain K12)	83333	42850	0		5 out of 5	Evidence at protein level	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P00954	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	334	Escherichia coli (strain K12)	83333	37438	0		4 out of 5	Evidence at protein level	Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)	SwissProt_and_IMEX	0	0	0	not two-hybrid, and not AP-MS
P00956	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	938	Escherichia coli (strain K12)	83333	104297	0		5 out of 5	Evidence at protein level	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	SwissProt_and_IMEX	1	1	1	two-hybrid and AP-MS
P00957	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	876	Escherichia coli (strain K12)	83333	96032	0		5 out of 5	Evidence at protein level	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P00959	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	677	Escherichia coli (strain K12)	83333	76255	0		5 out of 5	Evidence at protein level	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P00960	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	303	Escherichia coli (strain K12)	83333	34774	0		3 out of 5	Evidence at protein level	Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS)	SwissProt_and_IMEX	1	1	1	two-hybrid and AP-MS
P00961	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	689	Escherichia coli (strain K12)	83333	76813	0		4 out of 5	Evidence at protein level	Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS)	SwissProt_and_IMEX	1	1	1	two-hybrid and AP-MS
P00962	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	554	Escherichia coli (strain K12)	83333	63478	0		4 out of 5	Evidence at protein level	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	SwissProt_and_IMEX	0	0	1	not two-hybrid, AP-MS
P00963	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	330	Escherichia coli (strain K12)	83333	36651	0		4 out of 5	Evidence at protein level	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)	SwissProt_and_IMEX	1	1	0	two-hybrid, not AP-MS
P00968	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	1073	Escherichia coli (strain K12)	83333	117842	0		5 out of 5	Evidence at protein level	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	SwissProt_and_IMEX	1	1	1	two-hybrid and AP-MS
