whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X0903.mpidb.	X0974.InnateDB.	X1222.mbinfo.	X1262.I2D.	X1263.Molecular.Connections.	X1332.bhf.ucl.	X1335.HPIDb.	IMEx	missing_protein_evidence	BioGRID_from_Mentha	Status	Length	Organism	Organism.ID	Mass	Cross.reference..dbSNP.	Alternative.products..isoforms.	Annotation	Protein.existence	whole_proteome_Uniprot_IMEx
A1A535	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	833	Mus musculus (Mouse)	10090	94502	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2;  Name=A; IsoId=A1A535-1; Sequence=Displayed; Name=B; IsoId=A1A535-2; Sequence=VSP_027434; 	3 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A1A546	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	240	Mus musculus (Mouse)	10090	27169	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2;  Name=1; IsoId=A1A546-1; Sequence=Displayed; Name=2; IsoId=A1A546-2; Sequence=VSP_025717; Note=No experimental confirmation available.; 	4 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A1A547	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	347	Mus musculus (Mouse)	10090	38503	NA	NA	5 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A1A5B6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	reviewed	742	Mus musculus (Mouse)	10090	82575	NA	NA	3 out of 5	Evidence at protein level	SwissProt_not_IMEX
A1E960	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	273	Mus musculus (Mouse)	10090	29820	NA	NA	5 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A1EGX6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	reviewed	1074	Mus musculus (Mouse)	10090	114979	NA	NA	4 out of 5	Evidence at protein level	SwissProt_not_IMEX
A1IGU4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	676	Mus musculus (Mouse)	10090	76524	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2;  Name=1; IsoId=A1IGU4-1; Sequence=Displayed; Name=2; IsoId=A1IGU4-2; Sequence=VSP_033856; Note=No experimental confirmation available.; 	2 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A1KXC4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	422	Mus musculus (Mouse)	10090	47471	NA	NA	4 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A1L0T3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	586	Mus musculus (Mouse)	10090	61916	NA	NA	2 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A1L314	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	reviewed	713	Mus musculus (Mouse)	10090	78390	NA	NA	2 out of 5	Evidence at protein level	SwissProt_not_IMEX
A1L317	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	512	Mus musculus (Mouse)	10090	54041	NA	NA	3 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A1L3C1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	212	Mus musculus (Mouse)	10090	24172	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2;  Name=1; IsoId=A1L3C1-1; Sequence=Displayed; Name=2; IsoId=A1L3C1-2; Sequence=VSP_033761; 	2 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A1L3T7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	reviewed	938	Mus musculus (Mouse)	10090	104161	NA	NA	1 out of 5	Evidence at protein level	SwissProt_not_IMEX
A1Y9I9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	reviewed	258	Mus musculus (Mouse)	10090	28846	NA	NA	5 out of 5	Evidence at protein level	SwissProt_not_IMEX
A1YIY0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	268	Mus musculus (Mouse)	10090	30237	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2;  Name=1; IsoId=A1YIY0-1; Sequence=Displayed; Name=2; IsoId=A1YIY0-2; Sequence=VSP_053295, VSP_053296; 	3 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A1Z198	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	1177	Mus musculus (Mouse)	10090	134163	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=3;  Name=1; IsoId=A1Z198-1; Sequence=Displayed; Name=2; IsoId=A1Z198-2; Sequence=VSP_058005; Name=3; IsoId=A1Z198-3; Sequence=VSP_058005, VSP_058006, VSP_058007; Note=May be produced at very low levels due to a premature stop codon in the mRNA, leading to nonsense-mediated mRNA decay. {ECO:0000305}; 	5 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A2A259	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	reviewed	760	Mus musculus (Mouse)	10090	87234	NA	NA	5 out of 5	Evidence at protein level	SwissProt_not_IMEX
A2A3V1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	reviewed	959	Mus musculus (Mouse)	10090	111066	NA	NA	4 out of 5	Evidence at protein level	SwissProt_not_IMEX
A2A3V2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	341	Mus musculus (Mouse)	10090	38064	NA	NA	2 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A2A432	1	1	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1	0	1	reviewed	970	Mus musculus (Mouse)	10090	110699	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2;  Name=1 {ECO:0000269|PubMed:15489334, ECO:0000269|PubMed:16052071, ECO:0000269|PubMed:16141072, ECO:0000269|PubMed:19468303}; IsoId=A2A432-1; Sequence=Displayed; Name=2 {ECO:0000269|PubMed:12465718}; IsoId=A2A432-2; Sequence=VSP_039242; Note=No experimental confirmation available. {ECO:0000305}; 	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
A2A4P0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	1244	Mus musculus (Mouse)	10090	142572	NA	NA	4 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A2A559	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	320	Mus musculus (Mouse)	10090	36528	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2;  Name=1; IsoId=A2A559-1; Sequence=Displayed; Name=2; IsoId=A2A559-2; Sequence=VSP_034159; Note=No experimental confirmation available.; 	3 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A2A591	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	98	Mus musculus (Mouse)	10090	10271	NA	NA	2 out of 5	Inferred from homology	SwissProt_not_IMEX
A2A5E6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	429	Mus musculus (Mouse)	10090	44644	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2;  Name=1; IsoId=A2A5E6-1; Sequence=Displayed; Name=2; IsoId=A2A5E6-2; Sequence=VSP_031547; Note=No experimental confirmation available.; 	2 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A2A5H7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	82	Mus musculus (Mouse)	10090	9601	NA	NA	1 out of 5	Inferred from homology	SwissProt_not_IMEX
A2A5I3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	253	Mus musculus (Mouse)	10090	28269	NA	NA	2 out of 5	Inferred from homology	SwissProt_not_IMEX
A2A5K6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	reviewed	1337	Mus musculus (Mouse)	10090	145603	NA	NA	5 out of 5	Evidence at protein level	SwissProt_not_IMEX
A2A5N8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	826	Mus musculus (Mouse)	10090	91781	NA	NA	5 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A2A5R2	1	1	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1	0	1	reviewed	1792	Mus musculus (Mouse)	10090	202240	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
A2A5X4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	342	Mus musculus (Mouse)	10090	35045	NA	NA	2 out of 5	Inferred from homology	SwissProt_not_IMEX
A2A5X5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	502	Mus musculus (Mouse)	10090	52020	NA	NA	2 out of 5	Inferred from homology	SwissProt_not_IMEX
A2A5Z6	1	1	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1	0	1	reviewed	748	Mus musculus (Mouse)	10090	86175	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2;  Name=1; IsoId=A2A5Z6-1; Sequence=Displayed; Name=2; IsoId=A2A5Z6-2; Sequence=VSP_036055, VSP_036056; 	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
A2A690	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	reviewed	1994	Mus musculus (Mouse)	10090	220263	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2;  Name=1; IsoId=A2A690-1; Sequence=Displayed; Name=2; IsoId=A2A690-2; Sequence=VSP_033551; 	3 out of 5	Evidence at protein level	SwissProt_not_IMEX
A2A699	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	reviewed	822	Mus musculus (Mouse)	10090	87487	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2;  Name=1; IsoId=A2A699-1; Sequence=Displayed; Name=2; IsoId=A2A699-2; Sequence=VSP_032783; Note=No experimental confirmation available.; 	3 out of 5	Evidence at protein level	SwissProt_not_IMEX
A2A6A1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	reviewed	1505	Mus musculus (Mouse)	10090	164987	NA	NA	2 out of 5	Evidence at protein level	SwissProt_not_IMEX
A2A6C4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	690	Mus musculus (Mouse)	10090	76266	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2;  Name=1; IsoId=A2A6C4-1; Sequence=Displayed; Name=2; IsoId=A2A6C4-2; Sequence=VSP_030363, VSP_030364; Note=No experimental confirmation available.; 	4 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A2A6H3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	451	Mus musculus (Mouse)	10090	51374	NA	NA	2 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A2A6M5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	331	Mus musculus (Mouse)	10090	40136	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=5;  Name=1; IsoId=A2A6M5-1; Sequence=Displayed; Name=2; IsoId=A2A6M5-2; Sequence=VSP_029832; Name=3; IsoId=A2A6M5-3; Sequence=VSP_029833; Note=No experimental confirmation available.; Name=4; IsoId=A2A6M5-4; Sequence=VSP_029830; Note=No experimental confirmation available.; Name=5; IsoId=A2A6M5-5; Sequence=VSP_029831; Note=No experimental confirmation available.; 	4 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A2A6Q5	1	1	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1	0	1	reviewed	825	Mus musculus (Mouse)	10090	91842	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=3;  Name=1; IsoId=A2A6Q5-1; Sequence=Displayed; Name=2; IsoId=A2A6Q5-2; Sequence=VSP_038534, VSP_038535; Note=No experimental confirmation available.; Name=3; IsoId=A2A6Q5-3; Sequence=VSP_038534; Note=No experimental confirmation available.; 	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
A2A6T1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	reviewed	465	Mus musculus (Mouse)	10090	53213	NA	NA	2 out of 5	Evidence at protein level	SwissProt_not_IMEX
A2A791	1	1	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1	0	1	reviewed	1549	Mus musculus (Mouse)	10090	172438	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2;  Name=1; IsoId=A2A791-1; Sequence=Displayed; Name=2; IsoId=A2A791-2; Sequence=VSP_027515; 	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
A2A7Q9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	reviewed	732	Mus musculus (Mouse)	10090	78127	NA	NA	5 out of 5	Evidence at protein level	SwissProt_not_IMEX
A2A7S8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	reviewed	1013	Mus musculus (Mouse)	10090	104842	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=4;  Name=1; IsoId=A2A7S8-1; Sequence=Displayed; Name=2; IsoId=A2A7S8-2; Sequence=VSP_029460; Name=3; IsoId=A2A7S8-3; Sequence=VSP_029459; Name=4; IsoId=A2A7S8-4; Sequence=VSP_029461; 	2 out of 5	Evidence at protein level	SwissProt_not_IMEX
A2A7V7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	229	Mus musculus (Mouse)	10090	25336	NA	NA	3 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A2A7Y5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	reviewed	387	Mus musculus (Mouse)	10090	42828	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2;  Name=1; IsoId=A2A7Y5-1; Sequence=Displayed; Name=2; IsoId=A2A7Y5-2; Sequence=VSP_032215; 	3 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A2A7Z8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	408	Mus musculus (Mouse)	10090	46340	NA	NA	2 out of 5	Inferred from homology	SwissProt_not_IMEX
A2A825	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	258	Mus musculus (Mouse)	10090	28422	NA	NA	3 out of 5	Inferred from homology	SwissProt_not_IMEX
A2A863	1	1	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1	0	1	reviewed	1818	Mus musculus (Mouse)	10090	201650	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=3;  Name=1; IsoId=A2A863-1; Sequence=Displayed; Name=2; IsoId=A2A863-2; Sequence=VSP_037636; Name=3; IsoId=A2A863-3; Sequence=VSP_037636, VSP_037637; 	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
A2A870	1	1	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1	0	0	reviewed	1173	Mus musculus (Mouse)	10090	130138	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2;  Name=1; IsoId=A2A870-1; Sequence=Displayed; Name=2; IsoId=A2A870-2; Sequence=VSP_027324; 	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
A2A884	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	reviewed	2348	Mus musculus (Mouse)	10090	253413	NA	NA	5 out of 5	Evidence at protein level	SwissProt_not_IMEX
A2A891	1	1	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1	1	0	reviewed	1682	Mus musculus (Mouse)	10090	184319	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=5;  Name=1 {ECO:0000269|PubMed:12693553}; IsoId=A2A891-1; Sequence=Displayed; Note=Gene prediction based on EST data. {ECO:0000305}; Name=2; IsoId=A2A891-2; Sequence=VSP_052990; Name=3; IsoId=A2A891-3; Sequence=VSP_052987, VSP_052988; Note=No experimental confirmation available. {ECO:0000305}; Name=4; IsoId=A2A891-4; Sequence=VSP_052987, VSP_052988, VSP_052990, VSP_052991; Note=No experimental confirmation available. {ECO:0000305}; Name=5; IsoId=A2A891-5; Sequence=VSP_052989, VSP_052990, VSP_052991; Note=No experimental confirmation available. {ECO:0000305}; 	4 out of 5	Evidence at transcript level	SwissProt_and_IMEX
A2A8L1	1	1	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1	0	1	reviewed	1946	Mus musculus (Mouse)	10090	222515	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
A2A8L5	1	1	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1	0	1	reviewed	1898	Mus musculus (Mouse)	10090	211489	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
A2A8T7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	201	Mus musculus (Mouse)	10090	22716	NA	NA	2 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A2A8U2	1	1	uniprotkb	10090	0	1	0	0	0	0	0	0	0	0	1	0	0	reviewed	664	Mus musculus (Mouse)	10090	72500	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=3;  Name=1; IsoId=A2A8U2-1; Sequence=Displayed; Name=2; Synonyms=Samp1; IsoId=A2A8U2-2; Sequence=VSP_030917, VSP_030918; Name=3; IsoId=A2A8U2-3; Sequence=VSP_030919, VSP_030920; 	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
A2A8Z1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	reviewed	736	Mus musculus (Mouse)	10090	83109	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2;  Name=1; IsoId=A2A8Z1-1; Sequence=Displayed; Name=2; IsoId=A2A8Z1-2; Sequence=VSP_036572, VSP_036573; 	3 out of 5	Evidence at protein level	SwissProt_not_IMEX
A2A935	1	1	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1	0	1	reviewed	1275	Mus musculus (Mouse)	10090	140858	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=3;  Name=1; IsoId=A2A935-1; Sequence=Displayed; Name=2; IsoId=A2A935-2; Sequence=VSP_038066, VSP_038067, VSP_038068, VSP_038069; Note=No experimental confirmation available.; Name=3; IsoId=A2A935-3; Sequence=VSP_038067; Note=No experimental confirmation available.; 	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
A2A995	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	reviewed	729	Mus musculus (Mouse)	10090	82296	NA	NA	1 out of 5	Evidence at protein level	SwissProt_not_IMEX
A2A9A2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	531	Mus musculus (Mouse)	10090	52927	NA	NA	5 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A2A9C3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	reviewed	3431	Mus musculus (Mouse)	10090	377627	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2;  Name=1; IsoId=A2A9C3-1; Sequence=Displayed; Name=2; IsoId=A2A9C3-2; Sequence=VSP_039917; 	5 out of 5	Evidence at protein level	SwissProt_not_IMEX
A2A9F4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	reviewed	397	Mus musculus (Mouse)	10090	43496	NA	NA	5 out of 5	Evidence at protein level	SwissProt_not_IMEX
A2A9G7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	189	Mus musculus (Mouse)	10090	20106	NA	NA	1 out of 5	Inferred from homology	SwissProt_not_IMEX
A2A9I7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	reviewed	359	Mus musculus (Mouse)	10090	38424	NA	NA	3 out of 5	Evidence at protein level	SwissProt_not_IMEX
A2A9Q0	1	1	uniprotkb	10090	0	1	0	0	0	0	0	0	0	0	1	1	0	reviewed	223	Mus musculus (Mouse)	10090	24417	NA	NA	2 out of 5	Evidence at transcript level	SwissProt_and_IMEX
A2A9R3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	reviewed	556	Mus musculus (Mouse)	10090	60922	NA	NA	2 out of 5	Evidence at protein level	SwissProt_not_IMEX
A2A9T0	1	1	uniprotkb	10090	0	1	0	0	0	0	0	0	0	0	1	0	0	reviewed	611	Mus musculus (Mouse)	10090	67001	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2;  Name=1; IsoId=A2A9T0-1; Sequence=Displayed; Name=2 {ECO:0000269|PubMed:15489334}; IsoId=A2A9T0-2; Sequence=VSP_032344, VSP_052716; Note=No experimental confirmation available. {ECO:0000305}; 	3 out of 5	Evidence at protein level	SwissProt_and_IMEX
A2AA28	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	253	Mus musculus (Mouse)	10090	28289	NA	NA	2 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A2AAE1	1	1	uniprotkb	10090	1	0	1	0	0	0	0	0	0	0	1	0	1	reviewed	5005	Mus musculus (Mouse)	10090	555365	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=6;  Name=1; IsoId=A2AAE1-1; Sequence=Displayed; Name=2; IsoId=A2AAE1-2; Sequence=VSP_031037; Note=No experimental confirmation available.; Name=3; IsoId=A2AAE1-3; Sequence=VSP_031036, VSP_031037, VSP_031038; Note=No experimental confirmation available. {ECO:0000244|PubMed:21183079}; Name=4; IsoId=A2AAE1-4; Sequence=VSP_031032, VSP_031033; Note=No experimental confirmation available.; Name=5; IsoId=A2AAE1-5; Sequence=VSP_031034, VSP_031035; Name=6; IsoId=A2AAE1-6; Sequence=VSP_031038; Note=No experimental confirmation available.; 	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
A2AAJ9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	reviewed	8891	Mus musculus (Mouse)	10090	966372	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=3;  Name=1; IsoId=A2AAJ9-1; Sequence=Displayed; Name=2 {ECO:0000269|PubMed:15489334}; IsoId=A2AAJ9-2; Sequence=VSP_052485, VSP_052487; Note=Lacks the kinase domain. No experimental confirmation available. {ECO:0000305}; Name=3 {ECO:0000269|PubMed:15185077}; IsoId=A2AAJ9-3; Sequence=VSP_052486, VSP_052488; 	5 out of 5	Evidence at protein level	SwissProt_not_IMEX
A2AAY5	1	1	uniprotkb	10090	0	1	0	0	0	0	0	0	0	0	1	0	0	reviewed	908	Mus musculus (Mouse)	10090	101517	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
A2AB59	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	reviewed	869	Mus musculus (Mouse)	10090	97049	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2;  Name=1; IsoId=A2AB59-1; Sequence=Displayed; Name=2; IsoId=A2AB59-2; Sequence=VSP_031057; Note=No experimental confirmation available. {ECO:0000244|PubMed:18034455, ECO:0000244|PubMed:21183079}; 	4 out of 5	Evidence at protein level	SwissProt_not_IMEX
A2ABU4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	reviewed	1439	Mus musculus (Mouse)	10090	161778	NA	NA	3 out of 5	Evidence at protein level	SwissProt_not_IMEX
