whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X1222.mbinfo.	X1335.HPIDb.	IMEx	missing_protein_evidence	BioGRID_from_Mentha	Status	Length	Organism	Organism.ID	Mass	Cross.reference..dbSNP.	Alternative.products..isoforms.	Annotation	Protein.existence	Protein.names	whole_proteome_Uniprot_IMEx
A0A023PXE8	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11958	NA		1 out of 5	Uncertain	Putative uncharacterized protein YHR028W-A	SwissProt_not_IMEX
A0A023PXF2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12235	NA		1 out of 5	Uncertain	Putative uncharacterized protein YHR071C-A	SwissProt_not_IMEX
A0A023PXF5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11974	NA		2 out of 5	Uncertain	Putative uncharacterized helicase-like protein YHR218W-A	SwissProt_not_IMEX
A0A023PXF8	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	147	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15856	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YIL066W-A	SwissProt_not_IMEX
A0A023PXG3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	133	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14768	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YIL156W-A	SwissProt_not_IMEX
A0A023PXG7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	101	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12051	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YLR230W	SwissProt_not_IMEX
A0A023PXH2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12510	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YML031C-A	SwissProt_not_IMEX
A0A023PXH4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	145	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	17438	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YAL026C-A	SwissProt_not_IMEX
A0A023PXH5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	47	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	5170	NA		1 out of 5	Uncertain	Uncharacterized protein YBR126W-B	SwissProt_not_IMEX
A0A023PXH6	1	1	uniprotkb	559292	1	0	0	0	0	1	1	0	reviewed	127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14518	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YMR172C-A	SwissProt_and_IMEX
A0A023PXH9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	235	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	27059	NA		2 out of 5	Uncertain	Putative uncharacterized membrane protein YDR149C	SwissProt_not_IMEX
A0A023PXI0	1	1	uniprotkb	559292	1	0	0	0	0	1	1	0	reviewed	129	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14327	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YMR306C-A	SwissProt_and_IMEX
A0A023PXI4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11607	NA		1 out of 5	Uncertain	Putative uncharacterized protein YDR203W	SwissProt_not_IMEX
A0A023PXI5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	187	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	21368	NA		1 out of 5	Uncertain	Putative uncharacterized protein YPR197C	SwissProt_not_IMEX
A0A023PXI8	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12380	NA		1 out of 5	Uncertain	Putative uncharacterized protein YER006C-A	SwissProt_not_IMEX
A0A023PXJ3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13260	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YER076W-A	SwissProt_not_IMEX
A0A023PXJ7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11675	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YER107W-A	SwissProt_not_IMEX
A0A023PXK2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	192	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	20823	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YER148W-A	SwissProt_not_IMEX
A0A023PXK7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	284	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	31820	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YFL021C-A	SwissProt_not_IMEX
A0A023PXL1	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	197	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	22435	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YHL019W-A	SwissProt_not_IMEX
A0A023PXL7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	144	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	16240	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YHR056W-A	SwissProt_not_IMEX
A0A023PXM2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	81	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	9265	NA		1 out of 5	Uncertain	Putative uncharacterized protein YHR131W-A	SwissProt_not_IMEX
A0A023PXM7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	112	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14179	NA		1 out of 5	Uncertain	Putative uncharacterized protein YIL020C-A	SwissProt_not_IMEX
A0A023PXN3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14499	NA		1 out of 5	Uncertain	Putative uncharacterized protein YIL068W-A	SwissProt_not_IMEX
A0A023PXN9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	150	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	16970	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YIL171W-A	SwissProt_not_IMEX
A0A023PXP4	1	1	uniprotkb	559292	0	1	0	0	0	1	1	0	reviewed	132	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14669	NA		1 out of 5	Uncertain	Putative uncharacterized protein YLR235C	SwissProt_and_IMEX
A0A023PXP7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	132	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14545	NA		1 out of 5	Uncertain	Putative uncharacterized protein YML034C-A	SwissProt_not_IMEX
A0A023PXQ4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	394	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	43890	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YMR173W-A	SwissProt_not_IMEX
A0A023PXQ9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	102	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11216	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YMR316C-B	SwissProt_not_IMEX
A0A023PYC6	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	104	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11223	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YAL016C-A	SwissProt_not_IMEX
A0A023PYD0	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	140	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15823	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YAL059C-A	SwissProt_not_IMEX
A0A023PYD3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12867	NA		1 out of 5	Uncertain	Putative uncharacterized protein YDR094W	SwissProt_not_IMEX
A0A023PYD7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	172	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	18445	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YDR187C	SwissProt_not_IMEX
A0A023PYD9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	177	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	19365	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YEL018C-A	SwissProt_not_IMEX
A0A023PYE4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	107	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12901	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YER067C-A	SwissProt_not_IMEX
A0A023PYE9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	183	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	20007	NA		1 out of 5	Uncertain	Putative uncharacterized protein YER087C-A	SwissProt_not_IMEX
A0A023PYF4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	145	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	16018	NA		1 out of 5	Uncertain	Putative uncharacterized protein YER145C-A	SwissProt_not_IMEX
A0A023PYF7	1	1	uniprotkb	559292	0	1	0	0	0	1	1	0	reviewed	126	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13972	NA		1 out of 5	Uncertain	Putative uncharacterized protein YER172C-A	SwissProt_and_IMEX
A0A023PYG1	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	162	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	17933	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YHL002C-A	SwissProt_not_IMEX
A0A023PYG5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	108	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12274	NA		1 out of 5	Uncertain	Putative uncharacterized protein YHL046W-A	SwissProt_not_IMEX
A0A023PYH0	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	136	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15284	NA		1 out of 5	Uncertain	Putative uncharacterized protein YHR070C-A	SwissProt_not_IMEX
A0A023PYH5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	124	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14085	NA		1 out of 5	Uncertain	Putative uncharacterized protein YHR193C-A	SwissProt_not_IMEX
A0A023PYH8	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	122	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14124	NA		1 out of 5	Uncertain	Putative uncharacterized protein YIL047C-A	SwissProt_not_IMEX
A0A023PYI2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	110	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11940	NA		1 out of 5	Uncertain	Putative uncharacterized protein YIL142C-A	SwissProt_not_IMEX
A0A023PYI5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	133	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15235	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YIR036W-A	SwissProt_not_IMEX
A0A023PYJ0	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	108	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13446	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YML009C-A	SwissProt_not_IMEX
A0A023PYJ4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12887	NA		1 out of 5	Uncertain	Putative uncharacterized protein YMR153C-A	SwissProt_not_IMEX
A0A023PYJ7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	116	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13469	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YMR304C-A	SwissProt_not_IMEX
A0A023PYK2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12959	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YPR170C	SwissProt_not_IMEX
A0A023PZ94	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	102	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11414	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YAL031W-A	SwissProt_not_IMEX
A0A023PZ99	1	1	uniprotkb	559292	1	0	0	0	0	1	1	0	reviewed	116	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12837	NA		1 out of 5	Uncertain	Putative uncharacterized protein YDR008C	SwissProt_and_IMEX
A0A023PZA4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	116	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13179	NA		1 out of 5	Uncertain	Putative uncharacterized protein YDR154C	SwissProt_not_IMEX
A0A023PZA9	1	1	uniprotkb	559292	1	0	0	0	0	1	1	0	reviewed	115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12904	NA		1 out of 5	Uncertain	Putative uncharacterized protein YDR230W	SwissProt_and_IMEX
A0A023PZB3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	126	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14348	NA		1 out of 5	Predicted	Protein FMP49, mitochondrial (Found in mitochondrial proteome protein 49)	SwissProt_not_IMEX
A0A023PZB8	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	112	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12599	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YER079C-A	SwissProt_not_IMEX
A0A023PZC3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	113	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13357	NA		1 out of 5	Uncertain	Putative uncharacterized protein YER133W-A	SwissProt_not_IMEX
A0A023PZC7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	188	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	21595	NA		1 out of 5	Uncertain	Putative uncharacterized protein YER152W-A	SwissProt_not_IMEX
A0A023PZD0	1	1	uniprotkb	559292	0	1	0	0	0	1	1	0	reviewed	216	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	24214	NA		1 out of 5	Uncertain	Putative uncharacterized protein YFR036W-A	SwissProt_and_IMEX
A0A023PZD5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	153	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	17065	NA		1 out of 5	Uncertain	Putative uncharacterized protein YHL030W-A	SwissProt_not_IMEX
A0A023PZE1	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12202	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YHR063W-A	SwissProt_not_IMEX
A0A023PZE2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	109	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12154	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YAL047W-A	SwissProt_not_IMEX
A0A023PZE4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	103	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	9601	NA		1 out of 5	Uncertain	Putative uncharacterized protein YHR165W-A	SwissProt_not_IMEX
A0A023PZE6	1	1	uniprotkb	559292	1	0	0	0	0	1	1	0	reviewed	104	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12316	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YDR048C	SwissProt_and_IMEX
A0A023PZE8	1	1	uniprotkb	559292	0	1	0	0	0	1	1	0	reviewed	133	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15507	NA		1 out of 5	Uncertain	Putative uncharacterized protein YDR157W	SwissProt_and_IMEX
A0A023PZE9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	123	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13443	NA		1 out of 5	Uncertain	Putative uncharacterized protein YIL029W-A	SwissProt_not_IMEX
A0A023PZF2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	135	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15939	NA		1 out of 5	Uncertain	Putative uncharacterized protein YEL009C-A	SwissProt_not_IMEX
A0A023PZF3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	158	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	17541	NA		1 out of 5	Uncertain	Putative uncharacterized protein YIL071W-A	SwissProt_not_IMEX
A0A023PZF5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	109	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12723	NA		1 out of 5	Uncertain	Putative uncharacterized protein YER046W-A	SwissProt_not_IMEX
A0A023PZF9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	107	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11613	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YIR023C-A	SwissProt_not_IMEX
A0A023PZG0	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	170	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	20288	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YER084W-A	SwissProt_not_IMEX
A0A023PZG4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	107	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11596	NA		1 out of 5	Uncertain	Putative uncharacterized protein YLR236C	SwissProt_not_IMEX
A0A023PZG5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	101	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11524	NA		1 out of 5	Uncertain	Putative uncharacterized protein YER137W-A	SwissProt_not_IMEX
A0A023PZG9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	121	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14525	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YML047W-A	SwissProt_not_IMEX
A0A023PZH1	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	118	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13421	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YER165C-A	SwissProt_not_IMEX
A0A023PZH4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	101	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11822	NA		1 out of 5	Uncertain	Putative uncharacterized protein YFR052C-A	SwissProt_not_IMEX
A0A023PZH5	1	1	uniprotkb	559292	1	1	0	0	0	1	1	0	reviewed	115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12852	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YMR290W-A	SwissProt_and_IMEX
A0A023PZH9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	153	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	16290	NA		1 out of 5	Uncertain	Putative uncharacterized protein YHL034W-A	SwissProt_not_IMEX
A0A023PZI1	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	117	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12402	NA		2 out of 5	Uncertain	Putative uncharacterized protein OPI11 (Overproducer of inositol protein 11)	SwissProt_not_IMEX
A0A023PZI4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	120	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13252	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YHR069C-A	SwissProt_not_IMEX
A0A023PZI9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	157	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	18121	NA		1 out of 5	Uncertain	Putative uncharacterized protein YHR182C-A	SwissProt_not_IMEX
A0A023PZJ3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	112	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13554	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YIL030W-A	SwissProt_not_IMEX
A0A023PZJ9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	123	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13917	NA		1 out of 5	Uncertain	Putative uncharacterized protein YIL115W-A	SwissProt_not_IMEX
A0A023PZK4	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13675	NA		1 out of 5	Uncertain	Putative uncharacterized protein YIR030W-A	SwissProt_not_IMEX
A0A023PZK9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	126	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14447	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YLR458W	SwissProt_not_IMEX
A0A023PZL2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	124	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14510	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YMR119W-A	SwissProt_not_IMEX
A0A023PZL7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	119	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13839	NA		1 out of 5	Uncertain	Putative uncharacterized protein YMR294W-A	SwissProt_not_IMEX
A0A023PZM3	1	1	uniprotkb	559292	1	0	0	0	0	1	1	0	reviewed	137	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15156	NA		1 out of 5	Uncertain	Putative uncharacterized membrane protein YPR050C	SwissProt_and_IMEX
A0A0B7P221	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	28	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	3468	NA		1 out of 5	Predicted	Uncharacterized protein RDT1 (Ribosomally detected transcript 1)	SwissProt_not_IMEX
A0A0B7P3V8	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	1104	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	127189	NA		5 out of 5	Uncertain	Transposon Ty4-P Gag-Pol polyprotein (TY4A-TY4B) (Transposon Ty4 TYA-TYB polyprotein) [Includes: Capsid protein (CA); Ty4 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]	SwissProt_not_IMEX
