whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X0903.mpidb.	IMEx	missing_protein_evidence	Status	Length	Organism	Organism.ID	Mass	Cross.reference..dbSNP.	Alternative.products..isoforms.	Annotation	Protein.existence	whole_proteome_Uniprot_IMEx
C1P610	1	1	0	0	0	0	0	0	0	0	reviewed	23	Escherichia coli (strain K12)	83333	2704	NA	NA	2 out of 5	Evidence at protein level	SwissProt_not_IMEX
C1P611	1	1	0	0	0	0	0	0	0	1	reviewed	26	Escherichia coli (strain K12)	83333	3103	NA	NA	2 out of 5	Evidence at transcript level	SwissProt_not_IMEX
C1P612	1	1	0	0	0	0	0	0	0	0	reviewed	46	Escherichia coli (strain K12)	83333	5383	NA	NA	1 out of 5	Evidence at protein level	SwissProt_not_IMEX
C1P613	1	1	0	0	0	0	0	0	0	0	reviewed	26	Escherichia coli (strain K12)	83333	3203	NA	NA	1 out of 5	Evidence at protein level	SwissProt_not_IMEX
C1P614	1	1	0	0	0	0	0	0	0	0	reviewed	41	Escherichia coli (strain K12)	83333	4791	NA	NA	1 out of 5	Evidence at protein level	SwissProt_not_IMEX
C1P615	1	1	0	0	0	0	0	0	0	1	reviewed	19	Escherichia coli (strain K12)	83333	2209	NA	NA	3 out of 5	Evidence at transcript level	SwissProt_not_IMEX
C1P616	1	1	0	0	0	0	0	0	0	1	reviewed	19	Escherichia coli (strain K12)	83333	2151	NA	NA	3 out of 5	Inferred from homology	SwissProt_not_IMEX
C1P617	1	1	0	0	0	0	0	0	0	1	reviewed	19	Escherichia coli (strain K12)	83333	2207	NA	NA	3 out of 5	Evidence at transcript level	SwissProt_not_IMEX
C1P618	1	1	0	0	0	0	0	0	0	0	reviewed	26	Escherichia coli (strain K12)	83333	2979	NA	NA	1 out of 5	Evidence at protein level	SwissProt_not_IMEX
C1P619	1	1	0	0	0	0	0	0	0	0	reviewed	16	Escherichia coli (strain K12)	83333	1910	NA	NA	1 out of 5	Evidence at protein level	SwissProt_not_IMEX
C1P620	1	1	0	0	0	0	0	0	0	0	reviewed	36	Escherichia coli (strain K12)	83333	3618	NA	NA	1 out of 5	Evidence at protein level	SwissProt_not_IMEX
C1P621	1	1	0	0	0	0	0	0	0	0	reviewed	17	Escherichia coli (strain K12)	83333	2056	NA	NA	1 out of 5	Evidence at protein level	SwissProt_not_IMEX
E2JKY7	1	1	0	0	0	0	0	0	0	1	reviewed	17	Escherichia coli (strain K12)	83333	2123	NA	NA	1 out of 5	Inferred from homology	SwissProt_not_IMEX
G3MTW7	1	1	0	0	0	0	0	0	0	1	reviewed	29	Escherichia coli (strain K12)	83333	3465	NA	NA	2 out of 5	Predicted	SwissProt_not_IMEX
O32528	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	91	Escherichia coli (strain K12)	83333	10162	NA	NA	2 out of 5	Inferred from homology	SwissProt_and_IMEX
O32583	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	66	Escherichia coli (strain K12)	83333	7311	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
O52982	1	1	0	0	0	0	0	0	0	0	reviewed	147	Escherichia coli (strain K12)	83333	16735	NA	NA	3 out of 5	Evidence at protein level	SwissProt_not_IMEX
P00350	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	468	Escherichia coli (strain K12)	83333	51481	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00363	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	602	Escherichia coli (strain K12)	83333	65972	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00370	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	447	Escherichia coli (strain K12)	83333	48581	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00393	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	434	Escherichia coli (strain K12)	83333	47359	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00448	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	206	Escherichia coli (strain K12)	83333	23097	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00452	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	761	Escherichia coli (strain K12)	83333	85775	NA	ALTERNATIVE PRODUCTS:  Event=Alternative initiation; Named isoforms=2;  Name=Alpha; IsoId=P00452-1; Sequence=Displayed; Name=Alpha'; IsoId=P00452-2; Sequence=VSP_018871, VSP_018872; 	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00490	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	797	Escherichia coli (strain K12)	83333	90522	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00509	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	396	Escherichia coli (strain K12)	83333	43573	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00547	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	310	Escherichia coli (strain K12)	83333	33624	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00550	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	637	Escherichia coli (strain K12)	83333	67972	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00561	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	820	Escherichia coli (strain K12)	83333	89120	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00562	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	810	Escherichia coli (strain K12)	83333	88888	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00579	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	613	Escherichia coli (strain K12)	83333	70263	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00582	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	928	Escherichia coli (strain K12)	83333	103118	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00634	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	471	Escherichia coli (strain K12)	83333	49439	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00722	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	1024	Escherichia coli (strain K12)	83333	116483	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00803	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	324	Escherichia coli (strain K12)	83333	35960	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00804	1	1	0	0	0	0	0	0	0	0	reviewed	164	Escherichia coli (strain K12)	83333	18156	NA	NA	4 out of 5	Evidence at protein level	SwissProt_not_IMEX
P00805	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	348	Escherichia coli (strain K12)	83333	36851	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00811	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	377	Escherichia coli (strain K12)	83333	41556	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00816	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	156	Escherichia coli (strain K12)	83333	17049	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00861	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	420	Escherichia coli (strain K12)	83333	46177	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00864	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	883	Escherichia coli (strain K12)	83333	99063	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00887	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	348	Escherichia coli (strain K12)	83333	38735	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00888	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	356	Escherichia coli (strain K12)	83333	38804	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00892	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	548	Escherichia coli (strain K12)	83333	59285	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00893	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	574	Escherichia coli (strain K12)	83333	62984	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00894	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	163	Escherichia coli (strain K12)	83333	17977	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00895	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	520	Escherichia coli (strain K12)	83333	57494	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00903	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	187	Escherichia coli (strain K12)	83333	20772	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00904	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	531	Escherichia coli (strain K12)	83333	56870	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00909	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	453	Escherichia coli (strain K12)	83333	49492	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00914	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	472	Escherichia coli (strain K12)	83333	53667	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00926	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	442	Escherichia coli (strain K12)	83333	47901	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00934	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	428	Escherichia coli (strain K12)	83333	47114	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00935	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	386	Escherichia coli (strain K12)	83333	41550	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00936	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	848	Escherichia coli (strain K12)	83333	97586	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00944	1	1	uniprotkb	83333	1	1	0	0	1	1	reviewed	440	Escherichia coli (strain K12)	83333	49742	NA	NA	4 out of 5	Inferred from homology	SwissProt_and_IMEX
P00946	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	391	Escherichia coli (strain K12)	83333	42850	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00954	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	334	Escherichia coli (strain K12)	83333	37438	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00956	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	938	Escherichia coli (strain K12)	83333	104297	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00957	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	876	Escherichia coli (strain K12)	83333	96032	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00959	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	677	Escherichia coli (strain K12)	83333	76255	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00960	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	303	Escherichia coli (strain K12)	83333	34774	NA	NA	3 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00961	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	689	Escherichia coli (strain K12)	83333	76813	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00962	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	554	Escherichia coli (strain K12)	83333	63478	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00963	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	330	Escherichia coli (strain K12)	83333	36651	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P00968	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	1073	Escherichia coli (strain K12)	83333	117842	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P02338	1	1	0	0	0	0	0	0	0	1	reviewed	29	Escherichia coli (strain K12)	83333	3447	NA	NA	1 out of 5	Predicted	SwissProt_not_IMEX
P02358	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	135	Escherichia coli (strain K12)	83333	15703	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P02359	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	179	Escherichia coli (strain K12)	83333	20019	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P02413	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	144	Escherichia coli (strain K12)	83333	14980	NA	NA	3 out of 5	Evidence at protein level	SwissProt_and_IMEX
P02916	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	514	Escherichia coli (strain K12)	83333	57013	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P02918	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	850	Escherichia coli (strain K12)	83333	93636	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P02919	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	844	Escherichia coli (strain K12)	83333	94293	NA	ALTERNATIVE PRODUCTS:  Event=Alternative initiation; Named isoforms=2;  Name=Alpha; Synonyms=Long; IsoId=P02919-1; Sequence=Displayed; Name=Gamma; Synonyms=Short; IsoId=P02919-2; Sequence=VSP_018737; 	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P02920	1	1	0	0	0	0	0	0	0	0	reviewed	417	Escherichia coli (strain K12)	83333	46503	NA	NA	5 out of 5	Evidence at protein level	SwissProt_not_IMEX
P02921	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	473	Escherichia coli (strain K12)	83333	52636	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P02924	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	329	Escherichia coli (strain K12)	83333	35541	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P02925	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	296	Escherichia coli (strain K12)	83333	30950	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P02929	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	239	Escherichia coli (strain K12)	83333	26094	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P02930	1	1	uniprotkb	83333	1	1	0	1	1	0	reviewed	493	Escherichia coli (strain K12)	83333	53741	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P02931	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	362	Escherichia coli (strain K12)	83333	39333	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P02932	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	351	Escherichia coli (strain K12)	83333	38922	NA	NA	3 out of 5	Evidence at protein level	SwissProt_and_IMEX
P02942	1	1	uniprotkb	83333	1	1	0	1	1	0	reviewed	551	Escherichia coli (strain K12)	83333	59443	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P02943	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	446	Escherichia coli (strain K12)	83333	49912	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P03004	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	467	Escherichia coli (strain K12)	83333	52551	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P03007	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	243	Escherichia coli (strain K12)	83333	27099	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P03012	1	0	0	0	0	0	0	0	0	0	reviewed	183	Escherichia coli (strain K12)	83333	20362	NA	NA	3 out of 5	Evidence at protein level	SwissProt_not_IMEX
P03014	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	184	Escherichia coli (strain K12)	83333	20573	NA	NA	4 out of 5	Inferred from homology	SwissProt_and_IMEX
P03018	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	720	Escherichia coli (strain K12)	83333	81990	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P03023	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	360	Escherichia coli (strain K12)	83333	38590	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P03024	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	343	Escherichia coli (strain K12)	83333	37094	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P03030	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	311	Escherichia coli (strain K12)	83333	34365	NA	NA	3 out of 5	Inferred from homology	SwissProt_and_IMEX
P03061	1	1	0	0	0	0	0	0	0	1	reviewed	32	Escherichia coli (strain K12)	83333	3206	NA	NA	2 out of 5	Predicted	SwissProt_not_IMEX
P03813	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	230	Escherichia coli (strain K12)	83333	25248	NA	NA	2 out of 5	Inferred from homology	SwissProt_and_IMEX
P03817	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	147	Escherichia coli (strain K12)	83333	15808	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P03819	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	620	Escherichia coli (strain K12)	83333	67796	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P03825	1	1	0	0	0	0	0	0	0	1	reviewed	139	Escherichia coli (strain K12)	83333	15876	NA	NA	3 out of 5	Evidence at transcript level	SwissProt_not_IMEX
P03835	1	1	0	0	0	0	0	0	0	1	reviewed	442	Escherichia coli (strain K12)	83333	50386	NA	NA	2 out of 5	Inferred from homology	SwissProt_not_IMEX
P03841	1	1	0	0	0	0	0	0	0	1	reviewed	306	Escherichia coli (strain K12)	83333	31943	NA	NA	2 out of 5	Inferred from homology	SwissProt_not_IMEX
P03856	1	0	0	0	0	0	0	0	0	0	reviewed	251	Escherichia coli (strain K12)	83333	29359	NA	NA	3 out of 5	Evidence at protein level	SwissProt_not_IMEX
P03959	1	1	0	0	0	0	0	0	0	0	reviewed	557	Escherichia coli (strain K12)	83333	59189	NA	NA	5 out of 5	Evidence at protein level	SwissProt_not_IMEX
P03960	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	682	Escherichia coli (strain K12)	83333	72199	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P03961	1	1	uniprotkb	83333	0	1	0	0	1	0	reviewed	190	Escherichia coli (strain K12)	83333	20267	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P04036	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	273	Escherichia coli (strain K12)	83333	28757	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P04079	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	525	Escherichia coli (strain K12)	83333	58679	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P04128	1	1	0	0	0	0	0	0	0	0	reviewed	182	Escherichia coli (strain K12)	83333	18111	NA	NA	3 out of 5	Evidence at protein level	SwissProt_not_IMEX
P04152	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	422	Escherichia coli (strain K12)	83333	47680	NA	NA	3 out of 5	Evidence at protein level	SwissProt_and_IMEX
P04335	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	414	Escherichia coli (strain K12)	83333	47009	NA	NA	3 out of 5	Inferred from homology	SwissProt_and_IMEX
P04391	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	334	Escherichia coli (strain K12)	83333	36907	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P04395	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	282	Escherichia coli (strain K12)	83333	31393	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P04425	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	316	Escherichia coli (strain K12)	83333	35561	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P04693	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	397	Escherichia coli (strain K12)	83333	43538	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P04737	1	0	uniprotkb	83333	1	0	0	0	1	0	reviewed	121	Escherichia coli (strain K12)	83333	12768	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P04805	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	471	Escherichia coli (strain K12)	83333	53816	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P04816	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	369	Escherichia coli (strain K12)	83333	39379	NA	NA	3 out of 5	Evidence at protein level	SwissProt_and_IMEX
P04825	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	870	Escherichia coli (strain K12)	83333	98919	NA	NA	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
P04846	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	272	Escherichia coli (strain K12)	83333	29424	NA	NA	2 out of 5	Evidence at protein level	SwissProt_and_IMEX
P04949	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	498	Escherichia coli (strain K12)	83333	51295	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
P04951	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	248	Escherichia coli (strain K12)	83333	27614	NA	NA	4 out of 5	Evidence at protein level	SwissProt_and_IMEX
